id,x,y,zone,kh,ss,sy,w,a
0,735987.332189824,7475003.903762596,0,0.001,0.0001,0.05,50,50
1,735963.7580524192,7474980.177146281,0,0.001,0.0001,0.05,50,50
2,735913.4101607652,7474932.3706463855,0,0.001,0.0001,0.05,50,50
3,735746.763224384,7474776.735369159,0,0.001,0.0001,0.05,50,50
4,735516.1316000172,7474561.432677533,0,0.001,0.0001,0.05,50,50
5,735250.2555069919,7474310.897318125,0,0.001,0.0001,0.05,50,50
6,735113.0821032759,7474180.053246316,0,0.001,0.0001,0.05,50,50
7,734977.8751646484,7474049.564037545,0,0.001,0.0001,0.05,50,50
8,734848.2272185319,7473922.484035132,0,0.001,0.0001,0.05,50,50
9,734727.730792321,7473801.867582411,0,0.001,0.0001,0.05,50,50
10,734619.9784134454,7473690.769022701,0,0.001,0.0001,0.05,50,50
11,734572.0039065843,7473639.743435017,0,0.001,0.0001,0.05,50,50
12,734528.5626093242,7473592.242699336,0,0.001,0.0001,0.05,50,50
13,734490.1035876183,7473548.648608572,0,0.001,0.0001,0.05,50,50
14,734457.0759073803,7473509.34295564,0,0.001,0.0001,0.05,50,50
15,734429.9286345281,7473474.707533456,0,0.001,0.0001,0.05,50,50
16,734409.1108350076,7473445.124134937,0,0.001,0.0001,0.05,50,50
17,734347.5927051466,7473348.546713031,0,0.001,0.0001,0.05,50,50
18,734300.4862368131,7473270.61797438,0,0.001,0.0001,0.05,50,50
19,734263.9228212617,7473205.881741032,0,0.001,0.0001,0.05,50,50
20,734234.0338497615,7473148.881835024,0,0.001,0.0001,0.05,50,50
21,734178.8048039511,7473036.266293208,0,0.001,0.0001,0.05,50,50
22,734145.7275121681,7472969.738301488,0,0.001,0.0001,0.05,50,50
23,734103.8502294845,7472889.12192528,0,0.001,0.0001,0.05,50,50
24,734078.7510777249,7472844.537903257,0,0.001,0.0001,0.05,50,50
25,734051.0824323492,7472800.227511629,0,0.001,0.0001,0.05,50,50
26,734020.9372866474,7472756.134320404,0,0.001,0.0001,0.05,50,50
27,733988.4086338704,7472712.201899599,0,0.001,0.0001,0.05,50,50
28,733953.5894673157,7472668.373819218,0,0.001,0.0001,0.05,50,50
29,733916.5727802594,7472624.593649275,0,0.001,0.0001,0.05,50,50
30,733877.4515659575,7472580.804959775,0,0.001,0.0001,0.05,50,50
31,733836.3188176958,7472536.951320734,0,0.001,0.0001,0.05,50,50
32,733793.267528745,7472492.976302158,0,0.001,0.0001,0.05,50,50
33,733748.3906923914,7472448.82347406,0,0.001,0.0001,0.05,50,50
34,733701.7813019033,7472404.436406447,0,0.001,0.0001,0.05,50,50
35,733653.5323505566,7472359.758669333,0,0.001,0.0001,0.05,50,50
36,733552.4877383863,7472269.305466637,0,0.001,0.0001,0.05,50,50
37,733446.0008020878,7472177.012426055,0,0.001,0.0001,0.05,50,50
38,733387.7751553206,7472127.979189137,0,0.001,0.0001,0.05,50,50
39,733322.7809638163,7472074.720159937,0,0.001,0.0001,0.05,50,50
40,733176.822741427,7471958.388177063,0,0.001,0.0001,0.05,50,50
41,733016.7977247025,7471833.743382143,0,0.001,0.0001,0.05,50,50
42,732851.3775034247,7471706.512679895,0,0.001,0.0001,0.05,50,50
43,732539.0378062457,7471467.201172266,0,0.001,0.0001,0.05,50,50
44,732409.4615098895,7471366.574176313,0,0.001,0.0001,0.05,50,50
45,732309.1763680618,7471286.26889189,0,0.001,0.0001,0.05,50,50
46,732237.0925088254,7471225.779307023,0,0.001,0.0001,0.05,50,50
47,732184.4841872745,7471179.434364468,0,0.001,0.0001,0.05,50,50
48,732148.5691837248,7471145.213401044,0,0.001,0.0001,0.05,50,50
49,732126.5652785342,7471121.095753562,0,0.001,0.0001,0.05,50,50
50,732119.9105441666,7471112.194216053,0,0.001,0.0001,0.05,50,50
51,732115.6902520207,7471105.060758831,0,0.001,0.0001,0.05,50,50
52,732113.5566246163,7471099.442799002,0,0.001,0.0001,0.05,50,50
53,732113.1618845105,7471095.087753667,0,0.001,0.0001,0.05,50,50
54,732114.158254235,7471091.743039924,0,0.001,0.0001,0.05,50,50
55,732116.1979563353,7471089.156074875,0,0.001,0.0001,0.05,50,50
56,732122.0162478316,7471085.245059277,0,0.001,0.0001,0.05,50,50
57,735902.7554108838,7475059.099684862,1,0.001,0.0001,0.05,50,50
58,735887.6141124985,7475041.582514397,1,0.001,0.0001,0.05,50,50
59,735865.5674330961,7475017.947473194,1,0.001,0.0001,0.05,50,50
60,735802.6007200595,7474953.934225675,1,0.001,0.0001,0.05,50,50
61,735717.5408493753,7474870.280836472,1,0.001,0.0001,0.05,50,50
62,735614.0733987137,7474770.208199754,1,0.001,0.0001,0.05,50,50
63,735366.6580679076,7474533.688760441,1,0.001,0.0001,0.05,50,50
64,735089.8393487148,7474270.143061072,1,0.001,0.0001,0.05,50,50
65,734813.1018622236,7474005.338254993,1,0.001,0.0001,0.05,50,50
66,734683.9775253293,7473880.515922358,1,0.001,0.0001,0.05,50,50
67,734565.930229502,7473765.041495547,1,0.001,0.0001,0.05,50,50
68,734462.64555239,7473662.13586873,1,0.001,0.0001,0.05,50,50
69,734377.8090716127,7473575.019936074,1,0.001,0.0001,0.05,50,50
70,734343.4606478715,7473538.389634484,1,0.001,0.0001,0.05,50,50
71,734315.1063648137,7473506.914591746,1,0.001,0.0001,0.05,50,50
72,734293.2069196712,7473480.997419633,1,0.001,0.0001,0.05,50,50
73,734278.2230096334,7473461.040729916,1,0.001,0.0001,0.05,50,50
74,734256.0208109986,7473425.868203727,1,0.001,0.0001,0.05,50,50
75,734234.6664663645,7473387.900103115,1,0.001,0.0001,0.05,50,50
76,734213.8028921015,7473347.407177423,1,0.001,0.0001,0.05,50,50
77,734193.0730045765,7473304.660176003,1,0.001,0.0001,0.05,50,50
78,734150.5859552564,7473213.486943362,1,0.001,0.0001,0.05,50,50
79,734104.3486494016,7473116.546399977,1,0.001,0.0001,0.05,50,50
80,734078.9309412064,7473066.590260122,1,0.001,0.0001,0.05,50,50
81,734051.5044179948,7473016.004540622,1,0.001,0.0001,0.05,50,50
82,734021.7119961574,7472965.059990825,1,0.001,0.0001,0.05,50,50
83,733989.1965920527,7472914.027360082,1,0.001,0.0001,0.05,50,50
84,733953.6011220608,7472863.177397737,1,0.001,0.0001,0.05,50,50
85,733934.5367737224,7472837.905526384,1,0.001,0.0001,0.05,50,50
86,733914.5685025577,7472812.780853135,1,0.001,0.0001,0.05,50,50
87,733893.6516731053,7472787.837221664,1,0.001,0.0001,0.05,50,50
88,733871.741649918,7472763.108475631,1,0.001,0.0001,0.05,50,50
89,733848.7937975298,7472738.62845871,1,0.001,0.0001,0.05,50,50
90,733824.763480515,7472714.4310145695,1,0.001,0.0001,0.05,50,50
91,733770.2348009627,7472663.222983243,1,0.001,0.0001,0.05,50,50
92,733705.9017869326,7472606.338952568,1,0.001,0.0001,0.05,50,50
93,733633.1254083356,7472544.61975833,1,0.001,0.0001,0.05,50,50
94,733553.2666350985,7472478.906236308,1,0.001,0.0001,0.05,50,50
95,733467.6864371467,7472410.039222278,1,0.001,0.0001,0.05,50,50
96,733377.7457843905,7472338.859552028,1,0.001,0.0001,0.05,50,50
97,733190.2269942007,7472192.925585978,1,0.001,0.0001,0.05,50,50
98,732822.7466328689,7471910.302553546,1,0.001,0.0001,0.05,50,50
99,732664.5605804869,7471787.066859651,1,0.001,0.0001,0.05,50,50
100,732596.6194810914,7471732.910893517,1,0.001,0.0001,0.05,50,50
101,732537.9276261326,7471684.850628965,1,0.001,0.0001,0.05,50,50
102,732438.6798934622,7471600.563250336,1,0.001,0.0001,0.05,50,50
103,732354.0032747543,7471525.729326116,1,0.001,0.0001,0.05,50,50
104,732281.8161822994,7471458.998362822,1,0.001,0.0001,0.05,50,50
105,732220.0370283963,7471399.019866968,1,0.001,0.0001,0.05,50,50
106,732166.5842253185,7471344.443345063,1,0.001,0.0001,0.05,50,50
107,732119.3761853713,7471293.918303622,1,0.001,0.0001,0.05,50,50
108,732076.3313208427,7471246.094249155,1,0.001,0.0001,0.05,50,50
109,732035.3680440177,7471199.620688174,1,0.001,0.0001,0.05,50,50
110,736009.4445168196,7475775.932667826,2,0.001,0.0001,0.05,50,50
111,735946.051138975,7475712.692739677,2,0.001,0.0001,0.05,50,50
112,735846.1737494271,7475610.925933847,2,0.001,0.0001,0.05,50,50
113,735557.5944531804,7475313.287430663,2,0.001,0.0001,0.05,50,50
114,735184.9616639898,7474925.968641296,2,0.001,0.0001,0.05,50,50
115,734769.5304177708,7474491.921048772,2,0.001,0.0001,0.05,50,50
116,734352.5557504128,7474054.096136119,2,0.001,0.0001,0.05,50,50
117,733975.2926978421,7473655.445386359,2,0.001,0.0001,0.05,50,50
118,733678.9962959571,7473338.9202825185,2,0.001,0.0001,0.05,50,50
119,733574.1027877484,7473224.877186267,2,0.001,0.0001,0.05,50,50
120,733504.9215806648,7473147.472307629,2,0.001,0.0001,0.05,50,50
121,733454.3030369498,7473088.188520517,2,0.001,0.0001,0.05,50,50
122,733401.8609885608,7473025.291571002,2,0.001,0.0001,0.05,50,50
123,733292.714714017,7472890.831159258,2,0.001,0.0001,0.05,50,50
124,733179.8994295916,7472748.437021362,2,0.001,0.0001,0.05,50,50
125,733065.8318078474,7472602.455106279,2,0.001,0.0001,0.05,50,50
126,732843.6062426253,7472317.111740427,2,0.001,0.0001,0.05,50,50
127,732740.2816442808,7472186.442187596,2,0.001,0.0001,0.05,50,50
128,732645.3713988417,7472069.568653447,2,0.001,0.0001,0.05,50,50
129,732558.6267312126,7471965.751582025,2,0.001,0.0001,0.05,50,50
130,732477.6394305597,7471870.535021761,2,0.001,0.0001,0.05,50,50
131,732401.5870158985,7471782.690328207,2,0.001,0.0001,0.05,50,50
132,732329.6470062165,7471700.988856904,2,0.001,0.0001,0.05,50,50
133,732194.8142778144,7471551.101003264,2,0.001,0.0001,0.05,50,50
134,732066.5613973857,7471411.042305232,2,0.001,0.0001,0.05,50,50
135,735996.2983858909,7475904.848930893,3,0.001,0.0001,0.05,50,50
136,735978.2808285427,7475882.970522928,3,0.001,0.0001,0.05,50,50
137,735950.0766057174,7475851.084471097,3,0.001,0.0001,0.05,50,50
138,735865.806330374,7475759.952048415,3,0.001,0.0001,0.05,50,50
139,735748.8838934028,7475636.776888006,3,0.001,0.0001,0.05,50,50
140,735604.7056283669,7475486.884215029,3,0.001,0.0001,0.05,50,50
141,735256.1669482775,7475128.247232001,3,0.001,0.0001,0.05,50,50
142,734863.3609584724,7474726.642900601,3,0.001,0.0001,0.05,50,50
143,734117.6297232709,7473964.939397736,3,0.001,0.0001,0.05,50,50
144,733851.0458146317,7473690.043828804,3,0.001,0.0001,0.05,50,50
145,733763.2114549731,7473597.723378017,3,0.001,0.0001,0.05,50,50
146,733712.8772698077,7473542.588116559,3,0.001,0.0001,0.05,50,50
147,733652.6466140756,7473474.254499967,3,0.001,0.0001,0.05,50,50
148,733591.0553107675,7473407.498151457,3,0.001,0.0001,0.05,50,50
149,733463.5470633407,7473273.762064539,3,0.001,0.0001,0.05,50,50
150,733397.5082701929,7473204.304729057,3,0.001,0.0001,0.05,50,50
151,733329.8651313975,7473131.469467506,3,0.001,0.0001,0.05,50,50
152,733260.5567224321,7473054.017481351,3,0.001,0.0001,0.05,50,50
153,733189.5221187833,7472970.709972056,3,0.001,0.0001,0.05,50,50
154,733115.7492965062,7472879.34688757,3,0.001,0.0001,0.05,50,50
155,733038.8625544054,7472780.165156579,3,0.001,0.0001,0.05,50,50
156,732959.7554520811,7472675.581451638,3,0.001,0.0001,0.05,50,50
157,732879.321549133,7472568.012445303,3,0.001,0.0001,0.05,50,50
158,732798.4544051687,7472459.87481013,3,0.001,0.0001,0.05,50,50
159,732718.0475797942,7472353.585218677,3,0.001,0.0001,0.05,50,50
160,732638.9946325915,7472251.560343501,3,0.001,0.0001,0.05,50,50
161,732562.1891231823,7472156.216857159,3,0.001,0.0001,0.05,50,50
162,732487.350121837,7472066.9268986415,3,0.001,0.0001,0.05,50,50
163,732413.5062209596,7471981.11979175,3,0.001,0.0001,0.05,50,50
164,732340.5152633331,7471898.297986252,3,0.001,0.0001,0.05,50,50
165,732268.2350917562,7471817.963931914,3,0.001,0.0001,0.05,50,50
166,732125.2384778997,7471662.768875798,3,0.001,0.0001,0.05,50,50
167,731983.3791217329,7471511.554221538,3,0.001,0.0001,0.05,50,50
168,735707.1624283986,7476364.002506036,4,0.001,0.0001,0.05,50,50
169,735686.6272656701,7476340.638269078,4,0.001,0.0001,0.05,50,50
170,735652.348185788,7476299.0148913935,4,0.001,0.0001,0.05,50,50
171,735549.8705603117,7476170.756841768,4,0.001,0.0001,0.05,50,50
172,735260.4234467241,7475802.558460825,4,0.001,0.0001,0.05,50,50
173,734955.8176596339,7475415.665409711,4,0.001,0.0001,0.05,50,50
174,734834.391692252,7475264.039022371,4,0.001,0.0001,0.05,50,50
175,734787.7961901396,7475207.226225173,4,0.001,0.0001,0.05,50,50
176,734753.0497709935,7475166.335734928,4,0.001,0.0001,0.05,50,50
177,734628.4689737044,7475022.459222518,4,0.001,0.0001,0.05,50,50
178,734491.7261430753,7474864.091005694,4,0.001,0.0001,0.05,50,50
179,734424.0905576252,7474787.130654137,4,0.001,0.0001,0.05,50,50
180,734359.7703746976,7474715.737151692,4,0.001,0.0001,0.05,50,50
181,734300.8842312223,7474652.97375676,4,0.001,0.0001,0.05,50,50
182,734249.5507641702,7474601.903727746,4,0.001,0.0001,0.05,50,50
183,734191.943639947,7474546.458284825,4,0.001,0.0001,0.05,50,50
184,734116.0967396955,7474472.064550806,4,0.001,0.0001,0.05,50,50
185,733929.3194470365,7474287.66065887,4,0.001,0.0001,0.05,50,50
186,733728.4905580818,7474091.148950768,4,0.001,0.0001,0.05,50,50
187,733635.079162465,7474001.620446533,4,0.001,0.0001,0.05,50,50
188,733552.8817447373,7473924.986325316,4,0.001,0.0001,0.05,50,50
189,733514.027553716,7473887.195603047,4,0.001,0.0001,0.05,50,50
190,733472.6485821898,7473842.708261531,4,0.001,0.0001,0.05,50,50
191,733429.089068794,7473792.2247003,4,0.001,0.0001,0.05,50,50
192,733383.6932521404,7473736.445318895,4,0.001,0.0001,0.05,50,50
193,733336.8053708689,7473676.070516854,4,0.001,0.0001,0.05,50,50
194,733288.7696636056,7473611.800693709,4,0.001,0.0001,0.05,50,50
195,733239.9303689823,7473544.336249001,4,0.001,0.0001,0.05,50,50
196,733190.6317256208,7473474.377582264,4,0.001,0.0001,0.05,50,50
197,733092.0333471975,7473329.779180858,4,0.001,0.0001,0.05,50,50
198,732995.7284373776,7473183.608685791,4,0.001,0.0001,0.05,50,50
199,732904.4709051752,7473041.469293354,4,0.001,0.0001,0.05,50,50
200,732821.0146596213,7472908.964199845,4,0.001,0.0001,0.05,50,50
201,732740.0031535455,7472778.170157647,4,0.001,0.0001,0.05,50,50
202,732654.6567479549,7472638.293468901,4,0.001,0.0001,0.05,50,50
203,732473.4363237389,7472336.482235499,4,0.001,0.0001,0.05,50,50
204,732282.3075578143,7472013.910667129,4,0.001,0.0001,0.05,50,50
205,732086.2246210407,7471680.958931269,4,0.001,0.0001,0.05,50,50
206,735780.384130379,7476342.241010405,5,0.001,0.0001,0.05,50,50
207,735756.7202253708,7476317.043322422,5,0.001,0.0001,0.05,50,50
208,735718.732194882,7476271.924014045,5,0.001,0.0001,0.05,50,50
209,735668.428435661,7476209.657571306,5,0.001,0.0001,0.05,50,50
210,735607.8173444665,7476133.018480244,5,0.001,0.0001,0.05,50,50
211,735463.7067531194,7475947.720297269,5,0.001,0.0001,0.05,50,50
212,735302.4675948139,7475738.225353387,5,0.001,0.0001,0.05,50,50
213,734992.8722732808,7475335.428735967,5,0.001,0.0001,0.05,50,50
214,734876.6504580157,7475186.518838959,5,0.001,0.0001,0.05,50,50
215,734835.2129003806,7475134.896694497,5,0.001,0.0001,0.05,50,50
216,734807.5687717354,7475102.195734108,5,0.001,0.0001,0.05,50,50
217,734683.886694593,7474963.2872868255,5,0.001,0.0001,0.05,50,50
218,734503.5426928843,7474761.171365956,5,0.001,0.0001,0.05,50,50
219,734406.2218333699,7474653.325495234,5,0.001,0.0001,0.05,50,50
220,734311.654728381,7474549.97562688,5,0.001,0.0001,0.05,50,50
221,734225.4811231353,7474457.887717821,5,0.001,0.0001,0.05,50,50
222,734153.3407628583,7474383.827724975,5,0.001,0.0001,0.05,50,50
223,734076.8655449294,7474310.785194878,5,0.001,0.0001,0.05,50,50
224,733978.8132603293,7474220.435238386,5,0.001,0.0001,0.05,50,50
225,733866.5124946674,7474117.572158905,5,0.001,0.0001,0.05,50,50
226,733747.2918335928,7474006.990259839,5,0.001,0.0001,0.05,50,50
227,733628.4798627227,7473893.483844597,5,0.001,0.0001,0.05,50,50
228,733571.5173191201,7473837.132163225,5,0.001,0.0001,0.05,50,50
229,733517.4051676771,7473781.847216586,5,0.001,0.0001,0.05,50,50
230,733467.0594815963,7473728.228292604,5,0.001,0.0001,0.05,50,50
231,733421.3963340847,7473676.874679206,5,0.001,0.0001,0.05,50,50
232,733381.3317983401,7473628.38566432,5,0.001,0.0001,0.05,50,50
233,733347.7819475656,7473583.360535868,5,0.001,0.0001,0.05,50,50
234,733282.7420723161,7473487.262072428,5,0.001,0.0001,0.05,50,50
235,733209.1175888373,7473374.263071145,5,0.001,0.0001,0.05,50,50
236,733129.2283072948,7473248.747580026,5,0.001,0.0001,0.05,50,50
237,733045.3940378586,7473115.099647082,5,0.001,0.0001,0.05,50,50
238,732875.1697759179,7472840.942647764,5,0.001,0.0001,0.05,50,50
239,732717.0032843051,7472586.86445727,5,0.001,0.0001,0.05,50,50
240,732439.7794169986,7472143.138509812,5,0.001,0.0001,0.05,50,50
241,732180.1703794013,7471724.576604743,5,0.001,0.0001,0.05,50,50
242,733655.667222234,7473306.44199929,6,0.001,0.0001,0.05,50,50
243,733534.3362585731,7473039.064505572,6,0.001,0.0001,0.05,50,50
244,733368.0679009395,7472742.477705817,6,0.001,0.0001,0.05,50,50
245,733004.0750099309,7472120.09480027,6,0.001,0.0001,0.05,50,50
246,732840.0535220109,7471926.8640064895,6,0.001,0.0001,0.05,50,50
247,733815.1949707749,7473465.969747644,7,0.001,0.0001,0.05,50,50
248,733660.1609616417,7473124.445553986,7,0.001,0.0001,0.05,50,50
249,733534.3362585708,7472861.561799658,7,0.001,0.0001,0.05,50,50
250,733395.0303373211,7472605.418654414,7,0.001,0.0001,0.05,50,50
251,733120.912234209,7472140.316627525,7,0.001,0.0001,0.05,50,50
252,735977.1148000008,7478786.855700001,8,0.001,0.0001,0.05,50,50
253,735880.9847000011,7478627.5081,8,0.001,0.0001,0.05,50,50
254,735786.5946000009,7478503.493300001,8,0.001,0.0001,0.05,50,50
255,735667.9450999995,7478352.654,8,0.001,0.0001,0.05,50,50
256,735555.8922999998,7478244.4861,8,0.001,0.0001,0.05,50,50
257,735383.7025999994,7478096.0463,8,0.001,0.0001,0.05,50,50
258,735127.0754999997,7477902.3257,8,0.001,0.0001,0.05,50,50
259,735002.8600999999,7477826.201199999,8,0.001,0.0001,0.05,50,50
260,734863.4145999985,7477760.024700001,8,0.001,0.0001,0.05,50,50
261,734644.380199999,7477679.901,8,0.001,0.0001,0.05,50,50
262,734237.7611000006,7477543.888699999,8,0.001,0.0001,0.05,50,50
263,733691.5894000009,7477344.8792,8,0.001,0.0001,0.05,50,50
264,734754.3055999994,7476547.1515,9,0.001,0.0001,0.05,50,50
265,734926.9157999996,7476770.3361,9,0.001,0.0001,0.05,50,50
266,735075.9842000004,7476981.233200001,9,0.001,0.0001,0.05,50,50
267,735175.1569999985,7477121.7446,9,0.001,0.0001,0.05,50,50
268,735306.9503000004,7477323.103599999,9,0.001,0.0001,0.05,50,50
269,735415.6470000003,7477511.4953,9,0.001,0.0001,0.05,50,50
270,735617.9918000011,7477894.5173,9,0.001,0.0001,0.05,50,50
271,735720.0835999986,7478107.034000001,9,0.001,0.0001,0.05,50,50
272,735810.0293000006,7478319.7507,9,0.001,0.0001,0.05,50,50
273,735970.6501000007,7478764.3003,9,0.001,0.0001,0.05,50,50
274,735977.1148000008,7478786.855700001,9,0.001,0.0001,0.05,50,50
275,736006.9483000012,7478890.8645,9,0.001,0.0001,0.05,50,50
276,736045.8109000003,7479073.7973,9,0.001,0.0001,0.05,50,50
277,736125.218400001,7479589.0824,9,0.001,0.0001,0.05,50,50
278,736221.991599999,7480109.0865,9,0.001,0.0001,0.05,50,50
279,736251.552999999,7480322.1532,9,0.001,0.0001,0.05,50,50
280,736274.8474999988,7480562.0543,9,0.001,0.0001,0.05,50,50
281,736278.6653000009,7480601.8462,9,0.001,0.0001,0.05,50,50
282,736309.2078999998,7480784.3891,9,0.001,0.0001,0.05,50,50
283,736355.4918999993,7480981.8189,9,0.001,0.0001,0.05,50,50
284,736376.1394999997,7481054.714,9,0.001,0.0001,0.05,50,50
285,736375.8343999991,7481054.1941,10,0.001,0.0001,0.05,50,50
286,736426.3236999995,7481183.8378,10,0.001,0.0001,0.05,50,50
287,736481.8758999993,7481317.910500001,10,0.001,0.0001,0.05,50,50
288,736487.4995999997,7481333.3973,10,0.001,0.0001,0.05,50,50
289,736535.4078999998,7481465.340499999,10,0.001,0.0001,0.05,50,50
290,736557.8943999999,7481516.2601,10,0.001,0.0001,0.05,50,50
291,736614.0568000011,7481619.2291,10,0.001,0.0001,0.05,50,50
292,736631.9833000015,7481659.880900001,10,0.001,0.0001,0.05,50,50
293,736646.0588999996,7481701.952300001,10,0.001,0.0001,0.05,50,50
294,736655.8632000005,7481744.3837,10,0.001,0.0001,0.05,50,50
295,736667.2755000006,7481824.227400001,10,0.001,0.0001,0.05,50,50
296,736682.563299999,7481973.0971,10,0.001,0.0001,0.05,50,50
297,736693.4147999996,7482037.0141,10,0.001,0.0001,0.05,50,50
298,736713.749099999,7482118.8474,10,0.001,0.0001,0.05,50,50
299,736746.9220999994,7482233.0642,10,0.001,0.0001,0.05,50,50
300,736765.0217000012,7482284.5737,10,0.001,0.0001,0.05,50,50
301,736790.5343999993,7482341.6821,10,0.001,0.0001,0.05,50,50
302,736842.4089999996,7482441.0219,10,0.001,0.0001,0.05,50,50
303,735497.767399999,7475981.7366,21,0.001,0.0001,0.05,50,50
304,735634.3762999985,7476187.3848,21,0.001,0.0001,0.05,50,50
305,735742.9822999995,7476376.1164,21,0.001,0.0001,0.05,50,50
306,735868.7313999992,7476629.8947,21,0.001,0.0001,0.05,50,50
307,736143.1944000005,7477246.7092,21,0.001,0.0001,0.05,50,50
308,736439.2860999996,7477892.117800001,21,0.001,0.0001,0.05,50,50
309,736593.3349999996,7478209.1832,21,0.001,0.0001,0.05,50,50
310,736700.2753000008,7478403.9236,21,0.001,0.0001,0.05,50,50
311,737027.6683000006,7478939.1147,21,0.001,0.0001,0.05,50,50
312,737408.9232000012,7479632.2436,21,0.001,0.0001,0.05,50,50
313,737626.6546999991,7480067.7849,21,0.001,0.0001,0.05,50,50
314,737774.6511000001,7480351.3072,21,0.001,0.0001,0.05,50,50
315,737862.6919999991,7480547.9772,21,0.001,0.0001,0.05,50,50
316,738057.0466000006,7481015.0121,21,0.001,0.0001,0.05,50,50
317,738126.4931000005,7481215.7613,21,0.001,0.0001,0.05,50,50
318,738181.4434000002,7481418.0101,21,0.001,0.0001,0.05,50,50
319,738222.3839999989,7481624.618000001,21,0.001,0.0001,0.05,50,50
320,738258.0225000002,7481898.3323,21,0.001,0.0001,0.05,50,50
321,738322.6781999997,7482493.951100001,21,0.001,0.0001,0.05,50,50
322,738320.6167000007,7482583.043,21,0.001,0.0001,0.05,50,50
323,738309.7734000013,7482734.4721,21,0.001,0.0001,0.05,50,50
324,738314.1024999996,7482820.3347,21,0.001,0.0001,0.05,50,50
325,738334.4449999991,7482945.7391,21,0.001,0.0001,0.05,50,50
326,738430.921400001,7483395.6376,21,0.001,0.0001,0.05,50,50
327,738503.4518000011,7483745.5463,21,0.001,0.0001,0.05,50,50
328,737088.7041000002,7480446.877800001,22,0.001,0.0001,0.05,50,50
329,737233.7896999995,7480886.058400001,22,0.001,0.0001,0.05,50,50
330,737393.1736000001,7481310.292,22,0.001,0.0001,0.05,50,50
331,737515.871800001,7481642.874300001,22,0.001,0.0001,0.05,50,50
332,737662.2355000007,7482071.157100001,22,0.001,0.0001,0.05,50,50
333,737723.5186999989,7482216.6875,22,0.001,0.0001,0.05,50,50
334,737811.4275999998,7482384.643300001,22,0.001,0.0001,0.05,50,50
335,737923.933899999,7482573.8348,22,0.001,0.0001,0.05,50,50
336,737958.1377000008,7482626.5941,22,0.001,0.0001,0.05,50,50
337,738027.287300001,7478951.5021,38,0.001,0.0001,0.05,50,50
338,738240.2775000005,7479240.5233,38,0.001,0.0001,0.05,50,50
339,738383.6396999995,7479454.8897,38,0.001,0.0001,0.05,50,50
340,738565.8729000005,7479743.650900001,38,0.001,0.0001,0.05,50,50
341,738695.5882999998,7479923.7842,38,0.001,0.0001,0.05,50,50
342,739025.8920000005,7480353.3868,38,0.001,0.0001,0.05,50,50
343,739364.4417000008,7480805.6247,38,0.001,0.0001,0.05,50,50
344,739464.6452000005,7480964.2125,38,0.001,0.0001,0.05,50,50
345,739594.1956000015,7481172.520099999,38,0.001,0.0001,0.05,50,50
346,739705.2177000002,7481348.1943,38,0.001,0.0001,0.05,50,50
347,739790.9167000011,7481516.3101,38,0.001,0.0001,0.05,50,50
348,739790.9167000011,7481516.3101,39,0.001,0.0001,0.05,50,50
349,739924.1530999991,7481705.6815,39,0.001,0.0001,0.05,50,50
350,740064.7612000005,7481889.1042,39,0.001,0.0001,0.05,50,50
351,740123.0181000001,7481960.5497,39,0.001,0.0001,0.05,50,50
352,738027.287300001,7478951.5021,42,0.001,0.0001,0.05,50,50
353,737661.3366999996,7478484.7172,42,0.001,0.0001,0.05,50,50
354,737462.0016999998,7478229.829,42,0.001,0.0001,0.05,50,50
355,737324.3208000006,7478024.5208,42,0.001,0.0001,0.05,50,50
356,737075.7334000013,7477624.9522,42,0.001,0.0001,0.05,50,50
357,736954.8574999988,7477400.5278,42,0.001,0.0001,0.05,50,50
358,736835.9029999987,7477175.5936,42,0.001,0.0001,0.05,50,50
359,736723.3636999994,7476996.0502,42,0.001,0.0001,0.05,50,50
360,736578.0636999987,7476795.581,42,0.001,0.0001,0.05,50,50
361,736421.178300001,7476604.1299,42,0.001,0.0001,0.05,50,50
362,736275.7051000011,7476448.511599999,42,0.001,0.0001,0.05,50,50
363,736039.6842999998,7476227.496600001,42,0.001,0.0001,0.05,50,50
364,735640.9729999991,7475871.3991,42,0.001,0.0001,0.05,50,50
